year,nome,month,Number of Fires,date
2017,ALAGOAS,January,38,2017-01-01
2017,ALAGOAS,January,38,2017-01-01
1998,ALAGOAS,February,0,1998-01-01
1999,ALAGOAS,February,20,1999-01-01
2000,ALAGOAS,February,16,2000-01-01
2001,ALAGOAS,February,4,2001-01-01
2002,ALAGOAS,February,15,2002-01-01
2003,ALAGOAS,February,33,2003-01-01
2004,ALAGOAS,February,7,2004-01-01
2005,ALAGOAS,February,31,2005-01-01
2006,ALAGOAS,February,14,2006-01-01
2007,ALAGOAS,February,28,2007-01-01
2008,ALAGOAS,February,74,2008-01-01
2009,ALAGOAS,February,32,2009-01-01
2010,ALAGOAS,February,26,2010-01-01
2011,ALAGOAS,February,33,2011-01-01
2012,ALAGOAS,February,41,2012-01-01
2013,ALAGOAS,February,19,2013-01-01
2014,ALAGOAS,February,29,2014-01-01
2015,ALAGOAS,February,46,2015-01-01
2016,ALAGOAS,February,14,2016-01-01
2017,ALAGOAS,February,21,2017-01-01
1998,ALAGOAS,March,0,1998-01-01
1999,ALAGOAS,March,52,1999-01-01
2000,ALAGOAS,March,32,2000-01-01
2001,ALAGOAS,March,0,2001-01-01
2002,ALAGOAS,March,27,2002-01-01
2003,ALAGOAS,March,15,2003-01-01
2004,ALAGOAS,March,16,2004-01-01
2005,ALAGOAS,March,35,2005-01-01
2006,ALAGOAS,March,37,2006-01-01
2007,ALAGOAS,March,7,2007-01-01
2008,ALAGOAS,March,31,2008-01-01
2009,ALAGOAS,March,31,2009-01-01
2010,ALAGOAS,March,70,2010-01-01
2011,ALAGOAS,March,34,2011-01-01
2012,ALAGOAS,March,44,2012-01-01
2013,ALAGOAS,March,31,2013-01-01
2014,ALAGOAS,March,28,2014-01-01
2015,ALAGOAS,March,32,2015-01-01
2016,ALAGOAS,March,9,2016-01-01
2017,ALAGOAS,March,23,2017-01-01
1998,ALAGOAS,April,0,1998-01-01
1999,ALAGOAS,April,4,1999-01-01
2000,ALAGOAS,April,20,2000-01-01
2001,ALAGOAS,April,0,2001-01-01
2002,ALAGOAS,April,6,2002-01-01
2003,ALAGOAS,April,20,2003-01-01
2004,ALAGOAS,April,6,2004-01-01
2005,ALAGOAS,April,1,2005-01-01
2006,ALAGOAS,April,2,2006-01-01
2007,ALAGOAS,April,1,2007-01-01
2008,ALAGOAS,April,18,2008-01-01
2009,ALAGOAS,April,5,2009-01-01
2010,ALAGOAS,April,3,2010-01-01
2011,ALAGOAS,April,17,2011-01-01
2012,ALAGOAS,April,18,2012-01-01
2013,ALAGOAS,April,25,2013-01-01
2014,ALAGOAS,April,16,2014-01-01
2015,ALAGOAS,April,63,2015-01-01
2016,ALAGOAS,April,13,2016-01-01
2017,ALAGOAS,April,7,2017-01-01
1998,ALAGOAS,May,0,1998-01-01
1999,ALAGOAS,May,1,1999-01-01
2000,ALAGOAS,May,1,2000-01-01
2001,ALAGOAS,May,2,2001-01-01
2002,ALAGOAS,May,1,2002-01-01
2003,ALAGOAS,May,1,2003-01-01
2004,ALAGOAS,May,3,2004-01-01
2005,ALAGOAS,May,0,2005-01-01
2006,ALAGOAS,May,0,2006-01-01
2007,ALAGOAS,May,0,2007-01-01
2008,ALAGOAS,May,0,2008-01-01
2009,ALAGOAS,May,0,2009-01-01
2010,ALAGOAS,May,0,2010-01-01
2011,ALAGOAS,May,0,2011-01-01
2012,ALAGOAS,May,21,2012-01-01
2013,ALAGOAS,May,2,2013-01-01
2014,ALAGOAS,May,1,2014-01-01
2015,ALAGOAS,May,18,2015-01-01
2016,ALAGOAS,May,4,2016-01-01
2017,ALAGOAS,May,1,2017-01-01
1998,ALAGOAS,June,0,1998-01-01
1999,ALAGOAS,June,0,1999-01-01
2000,ALAGOAS,June,0,2000-01-01
2001,ALAGOAS,June,2,2001-01-01
2002,ALAGOAS,June,0,2002-01-01
2003,ALAGOAS,June,0,2003-01-01
2004,ALAGOAS,June,0,2004-01-01
2005,ALAGOAS,June,0,2005-01-01
2006,ALAGOAS,June,0,2006-01-01
2007,ALAGOAS,June,0,2007-01-01
2008,ALAGOAS,June,0,2008-01-01
2009,ALAGOAS,June,0,2009-01-01
2010,ALAGOAS,June,0,2010-01-01
2011,ALAGOAS,June,2,2011-01-01
2012,ALAGOAS,June,4,2012-01-01
2013,ALAGOAS,June,1,2013-01-01
2014,ALAGOAS,June,2,2014-01-01
2015,ALAGOAS,June,2,2015-01-01
2016,ALAGOAS,June,5,2016-01-01
2017,ALAGOAS,June,2,2017-01-01
1998,ALAGOAS,July,0,1998-01-01
1999,ALAGOAS,July,0,1999-01-01
2000,ALAGOAS,July,0,2000-01-01
2001,ALAGOAS,July,0,2001-01-01
2002,ALAGOAS,July,5,2002-01-01
2003,ALAGOAS,July,0,2003-01-01
2004,ALAGOAS,July,0,2004-01-01
2005,ALAGOAS,July,0,2005-01-01
2006,ALAGOAS,July,0,2006-01-01
2007,ALAGOAS,July,0,2007-01-01
2008,ALAGOAS,July,0,2008-01-01
2009,ALAGOAS,July,0,2009-01-01
2010,ALAGOAS,July,2,2010-01-01
2011,ALAGOAS,July,0,2011-01-01
2012,ALAGOAS,July,0,2012-01-01
2013,ALAGOAS,July,0,2013-01-01
2014,ALAGOAS,July,1,2014-01-01
2015,ALAGOAS,July,0,2015-01-01
2016,ALAGOAS,July,3,2016-01-01
2017,ALAGOAS,July,0,2017-01-01
1998,ALAGOAS,August,1,1998-01-01
1999,ALAGOAS,August,3,1999-01-01
2000,ALAGOAS,August,4,2000-01-01
2001,ALAGOAS,August,1,2001-01-01
2002,ALAGOAS,August,3,2002-01-01
2003,ALAGOAS,August,2,2003-01-01
2004,ALAGOAS,August,2,2004-01-01
2005,ALAGOAS,August,2,2005-01-01
2006,ALAGOAS,August,1,2006-01-01
2007,ALAGOAS,August,3,2007-01-01
2008,ALAGOAS,August,1,2008-01-01
2009,ALAGOAS,August,0,2009-01-01
2010,ALAGOAS,August,1,2010-01-01
2011,ALAGOAS,August,4,2011-01-01
2012,ALAGOAS,August,0,2012-01-01
2013,ALAGOAS,August,0,2013-01-01
2014,ALAGOAS,August,3,2014-01-01
2015,ALAGOAS,August,3,2015-01-01
2016,ALAGOAS,August,5,2016-01-01
2017,ALAGOAS,August,1,2017-01-01
1998,ALAGOAS,September,14,1998-01-01
1999,ALAGOAS,September,3,1999-01-01
2000,ALAGOAS,September,22,2000-01-01
2001,ALAGOAS,September,5,2001-01-01
2002,ALAGOAS,September,14,2002-01-01
2003,ALAGOAS,September,8,2003-01-01
2004,ALAGOAS,September,5,2004-01-01
2005,ALAGOAS,September,7,2005-01-01
2006,ALAGOAS,September,4,2006-01-01
2007,ALAGOAS,September,2,2007-01-01
2008,ALAGOAS,September,9,2008-01-01
2009,ALAGOAS,September,13,2009-01-01
2010,ALAGOAS,September,5,2010-01-01
2011,ALAGOAS,September,5,2011-01-01
2012,ALAGOAS,September,6,2012-01-01
2013,ALAGOAS,September,4,2013-01-01
2014,ALAGOAS,September,11,2014-01-01
2015,ALAGOAS,September,7,2015-01-01
2016,ALAGOAS,September,18,2016-01-01
2017,ALAGOAS,September,4,2017-01-01
1998,ALAGOAS,October,20,1998-01-01
1999,ALAGOAS,October,4,1999-01-01
2000,ALAGOAS,October,13,2000-01-01
2001,ALAGOAS,October,15,2001-01-01
2002,ALAGOAS,October,30,2002-01-01
2003,ALAGOAS,October,10,2003-01-01
2004,ALAGOAS,October,12,2004-01-01
2005,ALAGOAS,October,17,2005-01-01
2006,ALAGOAS,October,32,2006-01-01
2007,ALAGOAS,October,6,2007-01-01
2008,ALAGOAS,October,18,2008-01-01
2009,ALAGOAS,October,30,2009-01-01
2010,ALAGOAS,October,16,2010-01-01
2011,ALAGOAS,October,23,2011-01-01
2012,ALAGOAS,October,28,2012-01-01
2013,ALAGOAS,October,25,2013-01-01
2014,ALAGOAS,October,7,2014-01-01
2015,ALAGOAS,October,40,2015-01-01
2016,ALAGOAS,October,74,2016-01-01
2017,ALAGOAS,October,14,2017-01-01
1998,ALAGOAS,November,19,1998-01-01
1999,ALAGOAS,November,15,1999-01-01
2000,ALAGOAS,November,2,2000-01-01
2001,ALAGOAS,November,22,2001-01-01
2002,ALAGOAS,November,50,2002-01-01
2003,ALAGOAS,November,17,2003-01-01
2004,ALAGOAS,November,28,2004-01-01
2005,ALAGOAS,November,25,2005-01-01
2006,ALAGOAS,November,12,2006-01-01
2007,ALAGOAS,November,15,2007-01-01
2008,ALAGOAS,November,37,2008-01-01
2009,ALAGOAS,November,55,2009-01-01
2010,ALAGOAS,November,31,2010-01-01
2011,ALAGOAS,November,23,2011-01-01
2012,ALAGOAS,November,95,2012-01-01
2013,ALAGOAS,November,10,2013-01-01
2014,ALAGOAS,November,14,2014-01-01
2015,ALAGOAS,November,162,2015-01-01
2016,ALAGOAS,November,76,2016-01-01
2017,ALAGOAS,November,10,2017-01-01
1998,ALAGOAS,December,32,1998-01-01
1999,ALAGOAS,December,12,1999-01-01
2000,ALAGOAS,December,2,2000-01-01
2001,ALAGOAS,December,30,2001-01-01
2002,ALAGOAS,December,95,2002-01-01
2003,ALAGOAS,December,43,2003-01-01
2004,ALAGOAS,December,71,2004-01-01
2005,ALAGOAS,December,16,2005-01-01
2006,ALAGOAS,December,30,2006-01-01
2007,ALAGOAS,December,33,2007-01-01
2008,ALAGOAS,December,34,2008-01-01
2009,ALAGOAS,December,55,2009-01-01
2010,ALAGOAS,December,45,2010-01-01
2011,ALAGOAS,December,50,2011-01-01
2012,ALAGOAS,December,59,2012-01-01
2013,ALAGOAS,December,42,2013-01-01
2014,ALAGOAS,December,24,2014-01-01
2015,ALAGOAS,December,136,2015-01-01
2016,ALAGOAS,December,155,2016-01-01
1998,AMAPA,January,0,1998-01-01
1999,AMAPA,January,0,1999-01-01
2000,AMAPA,January,2,2000-01-01
2001,AMAPA,January,0,2001-01-01
2002,AMAPA,January,7,2002-01-01
2003,AMAPA,January,31,2003-01-01
2004,AMAPA,January,38,2004-01-01
2005,AMAPA,January,109,2005-01-01
2006,AMAPA,January,6,2006-01-01
2007,AMAPA,January,0,2007-01-01
2008,AMAPA,January,2,2008-01-01
2009,AMAPA,January,4,2009-01-01
2010,AMAPA,January,2,2010-01-01
2011,AMAPA,January,0,2011-01-01
2012,AMAPA,January,30,2012-01-01
2013,AMAPA,January,3,2013-01-01
2014,AMAPA,January,10,2014-01-01
2015,AMAPA,January,14,2015-01-01
2016,AMAPA,January,19,2016-01-01
2017,AMAPA,January,2,2017-01-01
1998,AMAPA,February,0,1998-01-01
1999,AMAPA,February,1,1999-01-01
2000,AMAPA,February,0,2000-01-01
2001,AMAPA,February,0,2001-01-01
2002,AMAPA,February,2,2002-01-01
2003,AMAPA,February,0,2003-01-01
2004,AMAPA,February,2,2004-01-01
2005,AMAPA,February,1,2005-01-01
2006,AMAPA,February,2,2006-01-01
2007,AMAPA,February,0,2007-01-01
2008,AMAPA,February,0,2008-01-01
2009,AMAPA,February,0,2009-01-01
2010,AMAPA,February,0,2010-01-01
2011,AMAPA,February,3,2011-01-01
2012,AMAPA,February,5,2012-01-01
2013,AMAPA,February,0,2013-01-01
2014,AMAPA,February,2,2014-01-01
2015,AMAPA,February,1,2015-01-01
2016,AMAPA,February,1,2016-01-01
2017,AMAPA,February,0,2017-01-01
1998,AMAPA,March,0,1998-01-01
1999,AMAPA,March,2,1999-01-01
2000,AMAPA,March,0,2000-01-01
2001,AMAPA,March,0,2001-01-01
2002,AMAPA,March,0,2002-01-01
2003,AMAPA,March,1,2003-01-01
2004,AMAPA,March,0,2004-01-01
2005,AMAPA,March,0,2005-01-01
2006,AMAPA,March,0,2006-01-01
2007,AMAPA,March,0,2007-01-01
2008,AMAPA,March,1,2008-01-01
2009,AMAPA,March,1,2009-01-01
2010,AMAPA,March,2,2010-01-01
2011,AMAPA,March,0,2011-01-01
2012,AMAPA,March,1,2012-01-01
2013,AMAPA,March,0,2013-01-01
2014,AMAPA,March,1,2014-01-01
2015,AMAPA,March,2,2015-01-01
2016,AMAPA,March,5,2016-01-01
2017,AMAPA,March,0,2017-01-01
1998,AMAPA,April,0,1998-01-01
1999,AMAPA,April,0,1999-01-01
2000,AMAPA,April,0,2000-01-01
2001,AMAPA,April,0,2001-01-01
2002,AMAPA,April,0,2002-01-01
2003,AMAPA,April,2,2003-01-01
2004,AMAPA,April,0,2004-01-01
2005,AMAPA,April,0,2005-01-01
2006,AMAPA,April,0,2006-01-01
2007,AMAPA,April,0,2007-01-01
2008,AMAPA,April,2,2008-01-01
2009,AMAPA,April,0,2009-01-01
2010,AMAPA,April,2,2010-01-01
2011,AMAPA,April,0,2011-01-01
2012,AMAPA,April,2,2012-01-01
2013,AMAPA,April,2,2013-01-01
2014,AMAPA,April,0,2014-01-01
2015,AMAPA,April,0,2015-01-01
2016,AMAPA,April,0,2016-01-01
2017,AMAPA,April,3,2017-01-01
1998,AMAPA,May,0,1998-01-01
1999,AMAPA,May,0,1999-01-01
2000,AMAPA,May,0,2000-01-01
2001,AMAPA,May,0,2001-01-01
2002,AMAPA,May,3,2002-01-01
2003,AMAPA,May,0,2003-01-01
2004,AMAPA,May,0,2004-01-01
2005,AMAPA,May,0,2005-01-01
